date,hotel_code,room_code,available
2024-09-02,GLMG,DK1YV,0
2024-09-02,GLMG,DQ1,0
2024-09-02,GLMG,DQ1V,0
2024-09-02,GLMG,DQ1Y,0
2024-09-02,GLMG,DQ1YA,0
2024-09-02,GLMG,DQ1YV,0
2024-09-02,GLMG,DQ1YVA,0
2024-09-02,GLMG,SD1,0
2024-09-02,GLMG,SD1A,0
2024-09-02,GLMG,SD1U,0
2024-09-02,GLMG,SD1UA,0
2024-09-02,GLMG,SD1V,0
2024-09-02,GLMG,SD1Y,0
2024-09-02,GLMG,SD1YV,0
2024-09-02,GLMG,SD2,0
2024-09-02,GLMG,SD2U,0
2024-09-02,GLMG,SD2V,0
2024-09-02,GLMG,SDT,0
2024-09-02,GLMG,SDTU,0
2024-09-02,GLMG,SDTV,0
2024-09-02,GLMG,SDTVA,0
2024-09-02,GLMG,SDTY,0
2024-09-02,GLMG,SK1A,0
2024-09-02,GLMG,ST2,0
2024-09-02,GLMG,ST2U,0
2024-09-02,GLMG,ST2V,0
2024-09-02,GLMG,ST2Y,0
2024-09-02,GLMG,ST2YV,0
2024-09-02,GLMG,XD2T,0
2024-09-02,GLMG,XD2TA,0
2024-09-02,GLMG,XKQYV,0
2024-09-03,GLMG,DK1,0
2024-09-03,GLMG,DK1V,0
2024-09-03,GLMG,DK1Y,0
2024-09-03,GLMG,DK1YV,0
2024-09-03,GLMG,DQ1,0
2024-09-03,GLMG,DQ1V,0
2024-09-03,GLMG,DQ1Y,0
2024-09-03,GLMG,DQ1YA,0
2024-09-03,GLMG,DQ1YV,0
2024-09-03,GLMG,DQ1YVA,0
2024-09-03,GLMG,SD1,0
2024-09-03,GLMG,SD1A,0
2024-09-03,GLMG,SD1U,0
2024-09-03,GLMG,SD1UA,0
2024-09-03,GLMG,SD1V,0
2024-09-03,GLMG,SD1Y,0
2024-09-03,GLMG,SD1YV,0
2024-09-03,GLMG,SD2,0
2024-09-03,GLMG,SD2U,0
2024-09-03,GLMG,SD2V,0
2024-09-03,GLMG,SDT,0
2024-09-03,GLMG,SDTU,0
